Periode;Wisatawan Mancanegara
01/01/2022;136298
01/02/2022;117509
01/03/2022;158629
01/04/2022;230076
01/05/2022;354920
01/06/2022;483883
01/07/2022;645121
01/08/2022;670509
01/09/2022;700606
01/10/2022;734228
01/11/2022;704783
01/12/2022;952469
01/01/2023;798469
01/02/2023;749436
01/03/2023;869244
01/04/2023;865811
01/05/2023;953714
01/06/2023;1062791
01/07/2023;1121189
01/08/2023;1132638
01/09/2023;1070245
01/10/2023;978519
01/11/2023;931227
01/12/2023;1144542
01/01/2024;927746
01/02/2024;1062149
01/03/2024;1041861
01/04/2024;1066958
